,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,added_at,song_title,artists
0,0.698,0.657,6,-7.405,0,0.516,0.284,7.5e-05,0.124,0.257,89.339,audio_features,3HgUXdJnCIL9duvpiSuB41,spotify:track:3HgUXdJnCIL9duvpiSuB41,https://api.spotify.com/v1/tracks/3HgUXdJnCIL9duvpiSuB41,https://api.spotify.com/v1/audio-analysis/3HgUXdJnCIL9duvpiSuB41,252254,4,2020-04-14T19:20:43Z,History X,Guizmo
1,0.669,0.449,0,-7.658,0,0.0489,0.184,0.0,0.0729,0.327,114.926,audio_features,65uoaqX5qcjXZRheAj1qQT,spotify:track:65uoaqX5qcjXZRheAj1qQT,https://api.spotify.com/v1/tracks/65uoaqX5qcjXZRheAj1qQT,https://api.spotify.com/v1/audio-analysis/65uoaqX5qcjXZRheAj1qQT,213493,4,2020-04-08T22:43:13Z,Dernière danse,Indila
2,0.616,0.832,10,-5.084,1,0.0455,0.00542,0.939,0.36,0.492,123.45,audio_features,6KCJB87jeBaJISz4STkwHe,spotify:track:6KCJB87jeBaJISz4STkwHe,https://api.spotify.com/v1/tracks/6KCJB87jeBaJISz4STkwHe,https://api.spotify.com/v1/audio-analysis/6KCJB87jeBaJISz4STkwHe,237440,4,2020-04-08T09:42:25Z,Shempi,Ratatat
3,0.577,0.731,7,-7.028,0,0.0313,0.238,0.884,0.288,0.308,138.251,audio_features,4r0mdBEiLjPOBMLtNBMVgx,spotify:track:4r0mdBEiLjPOBMLtNBMVgx,https://api.spotify.com/v1/tracks/4r0mdBEiLjPOBMLtNBMVgx,https://api.spotify.com/v1/audio-analysis/4r0mdBEiLjPOBMLtNBMVgx,256809,4,2020-04-08T07:41:15Z,Abrasive,Ratatat
4,0.794,0.687,7,-5.028,0,0.0746,0.0395,0.4,0.115,0.787,100.253,audio_features,0YV1vuvUaDye3prszC67BG,spotify:track:0YV1vuvUaDye3prszC67BG,https://api.spotify.com/v1/tracks/0YV1vuvUaDye3prszC67BG,https://api.spotify.com/v1/audio-analysis/0YV1vuvUaDye3prszC67BG,255984,4,2020-04-08T07:35:06Z,Cream on Chrome,Ratatat
5,0.613,0.821,10,-5.246,1,0.043,0.00593,0.918,0.205,0.546,123.48,audio_features,64bPc9nwvtrg9VIWgCOv2E,spotify:track:64bPc9nwvtrg9VIWgCOv2E,https://api.spotify.com/v1/tracks/64bPc9nwvtrg9VIWgCOv2E,https://api.spotify.com/v1/audio-analysis/64bPc9nwvtrg9VIWgCOv2E,246920,4,2020-04-07T14:54:20Z,Shempi,Ratatat
6,0.727,0.752,11,-4.633,0,0.0315,0.101,0.832,0.0737,0.734,110.003,audio_features,3Xw3yp1iuYl3n8oKmWk7YG,spotify:track:3Xw3yp1iuYl3n8oKmWk7YG,https://api.spotify.com/v1/tracks/3Xw3yp1iuYl3n8oKmWk7YG,https://api.spotify.com/v1/audio-analysis/3Xw3yp1iuYl3n8oKmWk7YG,214680,4,2020-04-07T13:18:30Z,Kennedy,Ratatat
7,0.542,0.805,9,-5.388,1,0.03,0.267,0.917,0.103,0.285,91.942,audio_features,5ovKMrenMOvhyEcMWmLnZj,spotify:track:5ovKMrenMOvhyEcMWmLnZj,https://api.spotify.com/v1/tracks/5ovKMrenMOvhyEcMWmLnZj,https://api.spotify.com/v1/audio-analysis/5ovKMrenMOvhyEcMWmLnZj,276800,4,2020-04-07T13:11:15Z,Tropicana,Ratatat
8,0.646,0.759,2,-5.335,1,0.0626,0.0118,0.829,0.0558,0.354,104.992,audio_features,70HxZbVnoyrfQ4dIWgcYMm,spotify:track:70HxZbVnoyrfQ4dIWgcYMm,https://api.spotify.com/v1/tracks/70HxZbVnoyrfQ4dIWgcYMm,https://api.spotify.com/v1/audio-analysis/70HxZbVnoyrfQ4dIWgcYMm,269747,4,2020-04-07T12:55:38Z,Lex,Ratatat
9,0.703,0.718,1,-7.522,1,0.0669,0.0479,0.432,0.0415,0.785,115.993,audio_features,4EBisBBehGON4ESJsNZBsP,spotify:track:4EBisBBehGON4ESJsNZBsP,https://api.spotify.com/v1/tracks/4EBisBBehGON4ESJsNZBsP,https://api.spotify.com/v1/audio-analysis/4EBisBBehGON4ESJsNZBsP,260173,4,2020-04-07T12:36:39Z,Wildcat,Ratatat
