,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,added_at,song_title,artists,genres,principal_genre
0,0.661,0.765,2,-8.818,1,0.0297,0.0757,0.801,0.0919,0.237,123.011,audio_features,38CngZw3TDi2XDCQPMKHJR,spotify:track:38CngZw3TDi2XDCQPMKHJR,https://api.spotify.com/v1/tracks/38CngZw3TDi2XDCQPMKHJR,https://api.spotify.com/v1/audio-analysis/38CngZw3TDi2XDCQPMKHJR,228293,4,2020-04-07T16:07:14Z,A Sheltered Place - Phaeleh Remix,"Way Out West,Phaeleh","['classic progressive house', 'nu skool breaks', 'progressive house', 'progressive trance house', 'tech house', 'trance', 'uplifting trance']",house
1,0.728,0.784,8,-12.477,1,0.0414,0.103,0.848,0.0858,0.0646,124.977,audio_features,6YJ9z4IInxfJWsjc6ADtV2,spotify:track:6YJ9z4IInxfJWsjc6ADtV2,https://api.spotify.com/v1/tracks/6YJ9z4IInxfJWsjc6ADtV2,https://api.spotify.com/v1/audio-analysis/6YJ9z4IInxfJWsjc6ADtV2,377919,3,2020-04-07T13:40:07Z,Prelusion,"Mark Tarmonea,Yannek Maunz",['german house'],house
2,0.725,0.742,0,-8.646,1,0.0328,0.0887,0.81,0.107,0.098,122.984,audio_features,4isQapTCsf1TvF9RkzfrCG,spotify:track:4isQapTCsf1TvF9RkzfrCG,https://api.spotify.com/v1/tracks/4isQapTCsf1TvF9RkzfrCG,https://api.spotify.com/v1/audio-analysis/4isQapTCsf1TvF9RkzfrCG,277073,4,2020-04-07T09:13:47Z,Odyssee - Pt. 2,BLR,"['dutch edm', 'house']",house
3,0.689,0.81,8,-6.621,0,0.0464,0.0203,0.901,0.139,0.863,125.025,audio_features,0oB0mWnbRYNsC2CicOkXZL,spotify:track:0oB0mWnbRYNsC2CicOkXZL,https://api.spotify.com/v1/tracks/0oB0mWnbRYNsC2CicOkXZL,https://api.spotify.com/v1/audio-analysis/0oB0mWnbRYNsC2CicOkXZL,407803,4,2020-04-06T14:33:04Z,GUFM - Folamour Remix,"Mangabey,Folamour",[],other
4,0.946,0.493,8,-9.654,1,0.0509,0.162,0.297,0.0875,0.592,120.012,audio_features,0aKoR2iMGuqAUBBCdRwII8,spotify:track:0aKoR2iMGuqAUBBCdRwII8,https://api.spotify.com/v1/tracks/0aKoR2iMGuqAUBBCdRwII8,https://api.spotify.com/v1/audio-analysis/0aKoR2iMGuqAUBBCdRwII8,270000,4,2020-04-04T12:08:27Z,Prettiest Virgin (Radio Edit),Agar Agar,"['electronica', 'french indie pop', 'french indietronica']",pop
5,0.763,0.781,6,-10.39,1,0.0525,0.00117,0.854,0.159,0.285,121.996,audio_features,5ofm5aS6KfjOrkmUKQDF8T,spotify:track:5ofm5aS6KfjOrkmUKQDF8T,https://api.spotify.com/v1/tracks/5ofm5aS6KfjOrkmUKQDF8T,https://api.spotify.com/v1/audio-analysis/5ofm5aS6KfjOrkmUKQDF8T,475799,4,2020-04-01T12:15:13Z,Chymera,"Tim Engelhardt,Leonard Bywa","['cologne electronic', 'deep melodic euro house', 'minimal tech house', 'minimal techno', 'tech house']",house
6,0.845,0.451,2,-11.108,1,0.0741,0.0228,0.888,0.111,0.326,120.017,audio_features,2mxIRjh4MXWMURoVn0YsvL,spotify:track:2mxIRjh4MXWMURoVn0YsvL,https://api.spotify.com/v1/tracks/2mxIRjh4MXWMURoVn0YsvL,https://api.spotify.com/v1/audio-analysis/2mxIRjh4MXWMURoVn0YsvL,176000,3,2020-03-31T20:24:23Z,Fuse,"xJK.,Zane Schaffer","['lo-fi beats', 'lo-fi house']",house
7,0.765,0.647,11,-11.527,0,0.0581,0.000254,0.897,0.0516,0.144,120.003,audio_features,1LwmwOuIoZVydjL13JzaHP,spotify:track:1LwmwOuIoZVydjL13JzaHP,https://api.spotify.com/v1/tracks/1LwmwOuIoZVydjL13JzaHP,https://api.spotify.com/v1/audio-analysis/1LwmwOuIoZVydjL13JzaHP,502448,4,2020-03-31T20:20:10Z,Let's Be Friends,Robert Babicz,"['cologne electronic', 'deep melodic euro house', 'german techno', 'microhouse', 'minimal tech house', 'minimal techno', 'tech house']",house
8,0.599,0.847,10,-7.973,0,0.215,0.203,0.000524,0.698,0.364,100.085,audio_features,1VzsS5tPCG6reQ9LoTMUpn,spotify:track:1VzsS5tPCG6reQ9LoTMUpn,https://api.spotify.com/v1/tracks/1VzsS5tPCG6reQ9LoTMUpn,https://api.spotify.com/v1/audio-analysis/1VzsS5tPCG6reQ9LoTMUpn,278256,4,2020-03-28T12:09:08Z,La Vie est Belle,La Belle Vie,"['french indietronica', 'new french touch']",other
9,0.623,0.789,0,-7.887,1,0.0309,0.00461,0.0756,0.163,0.542,123.998,audio_features,7E3lkl2RudmSHzholbRzsE,spotify:track:7E3lkl2RudmSHzholbRzsE,https://api.spotify.com/v1/tracks/7E3lkl2RudmSHzholbRzsE,https://api.spotify.com/v1/audio-analysis/7E3lkl2RudmSHzholbRzsE,227733,4,2020-03-28T12:07:56Z,L'amour le jour,Le Couleur,['electropop'],pop
10,0.622,0.668,5,-13.971,1,0.0441,0.0647,0.0172,0.0674,0.783,124.572,audio_features,2RJBXZ8bWc6DDOuIlPdF7R,spotify:track:2RJBXZ8bWc6DDOuIlPdF7R,https://api.spotify.com/v1/tracks/2RJBXZ8bWc6DDOuIlPdF7R,https://api.spotify.com/v1/audio-analysis/2RJBXZ8bWc6DDOuIlPdF7R,219707,4,2020-03-28T12:07:31Z,"Sea, Sex And Sun",Serge Gainsbourg,"['chanson', 'french rock']",other
11,0.756,0.761,10,-9.043,0,0.0961,0.0292,0.686,0.881,0.962,96.692,audio_features,20XyCtN4HMiL1BsvXyengf,spotify:track:20XyCtN4HMiL1BsvXyengf,https://api.spotify.com/v1/tracks/20XyCtN4HMiL1BsvXyengf,https://api.spotify.com/v1/audio-analysis/20XyCtN4HMiL1BsvXyengf,274080,4,2020-03-28T12:06:38Z,Venasque,Ian Pooley,"['deep house', 'disco house', 'tech house']",house
12,0.902,0.488,9,-9.166,0,0.0651,0.217,0.000511,0.158,0.709,108.018,audio_features,7df4ImKu3Q8PX3EtgsiIjl,spotify:track:7df4ImKu3Q8PX3EtgsiIjl,https://api.spotify.com/v1/tracks/7df4ImKu3Q8PX3EtgsiIjl,https://api.spotify.com/v1/audio-analysis/7df4ImKu3Q8PX3EtgsiIjl,251067,4,2020-03-28T12:06:14Z,Maintenant ou jamais,Catastrophe,"['french indie pop', 'french indietronica']",pop
13,0.708,0.683,1,-6.025,0,0.0427,0.343,0.525,0.147,0.412,100.998,audio_features,4oGvA6ptJUkGvElQzCWJei,spotify:track:4oGvA6ptJUkGvElQzCWJei,https://api.spotify.com/v1/tracks/4oGvA6ptJUkGvElQzCWJei,https://api.spotify.com/v1/audio-analysis/4oGvA6ptJUkGvElQzCWJei,237667,4,2020-03-28T12:05:52Z,Basta Così (feat. Alex Rossi),"Bon Entendeur,Alex Rossi","['french indie pop', 'french indietronica', 'new french touch']",pop
14,0.77,0.479,9,-13.91,0,0.0641,0.646,0.875,0.116,0.633,120.018,audio_features,32vHO1tFOy1lzqn7VUMefO,spotify:track:32vHO1tFOy1lzqn7VUMefO,https://api.spotify.com/v1/tracks/32vHO1tFOy1lzqn7VUMefO,https://api.spotify.com/v1/audio-analysis/32vHO1tFOy1lzqn7VUMefO,408602,4,2020-03-28T12:04:29Z,Parfait Tirage,Paradis,"['french indie pop', 'french indietronica', 'indie soul', 'nu disco']",pop
15,0.701,0.835,7,-9.602,0,0.101,0.133,0.252,0.102,0.388,100.032,audio_features,3dRZVOG3AZqt4tfre2peNk,spotify:track:3dRZVOG3AZqt4tfre2peNk,https://api.spotify.com/v1/tracks/3dRZVOG3AZqt4tfre2peNk,https://api.spotify.com/v1/audio-analysis/3dRZVOG3AZqt4tfre2peNk,212438,4,2020-03-28T12:03:57Z,Les Tropiques,La Belle Vie,"['french indietronica', 'new french touch']",other
16,0.741,0.761,11,-13.496,1,0.0469,0.157,0.707,0.0392,0.958,118.912,audio_features,0hMUcAdD9QT8apFfjv26A5,spotify:track:0hMUcAdD9QT8apFfjv26A5,https://api.spotify.com/v1/tracks/0hMUcAdD9QT8apFfjv26A5,https://api.spotify.com/v1/audio-analysis/0hMUcAdD9QT8apFfjv26A5,254453,4,2020-03-28T12:03:44Z,Week-end à Rome,Étienne Daho,"['chanson', 'french indie pop', 'french indietronica', 'french pop', 'french rock', 'nouvelle chanson francaise']",pop
17,0.631,0.755,11,-9.524,0,0.0401,0.121,0.16,0.085,0.45,119.909,audio_features,6uxkFuMaxU9Sl6D3bjJrAG,spotify:track:6uxkFuMaxU9Sl6D3bjJrAG,https://api.spotify.com/v1/tracks/6uxkFuMaxU9Sl6D3bjJrAG,https://api.spotify.com/v1/audio-analysis/6uxkFuMaxU9Sl6D3bjJrAG,248500,4,2020-03-28T12:03:16Z,Toi et moi,Poom,['french indietronica'],other
